Format Version,1.21,Take Name,Outdoor_2018_05_17_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-05-17 08.10.51 PM,Total Frames in Take,44265,Total Exported Frames,44265,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
54,0.450000,-0.004238,0.999683,-0.000894,-0.024824,-0.070435,0.217085,0.340975,0.000379
55,0.458333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
56,0.466667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
57,0.475000,-0.003971,0.999689,-0.000346,-0.024626,-0.070399,0.217144,0.340966,0.000404
58,0.483333,-0.004174,0.999680,-0.000298,-0.024935,-0.070452,0.217173,0.340901,0.000462
59,0.491667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
60,0.500000,-0.002368,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
61,0.508333,-0.002306,0.999724,-0.000328,-0.023393,-0.070519,0.217004,0.341016,0.000886
62,0.516667,-0.002369,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
63,0.525000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
64,0.533333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
65,0.541667,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
66,0.550000,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
67,0.558333,-0.002306,0.999724,-0.000328,-0.023393,-0.070520,0.217004,0.341016,0.000886
68,0.566667,-0.002369,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
69,0.575000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
70,0.583333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
71,0.591667,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
72,0.600000,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
73,0.608333,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
74,0.616667,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
75,0.625000,-0.002681,0.999720,-0.001267,-0.023467,-0.070539,0.216894,0.341010,0.000872
76,0.633333,-0.002368,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
77,0.641667,-0.002367,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
78,0.650000,-0.002416,0.999711,-0.000630,-0.023908,-0.070607,0.216986,0.341063,0.000813
79,0.658333,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
80,0.666667,-0.002574,0.999705,-0.001201,-0.024110,-0.070650,0.216905,0.341069,0.000790
81,0.675000,-0.002368,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
82,0.683333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
83,0.691667,-0.002368,0.999711,-0.000640,-0.023914,-0.070612,0.216969,0.341059,0.000817
84,0.700000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
85,0.708333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
86,0.716667,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
